ID_House,Day,Month,Year,Hour,Holiday,Acorn_Group,Temperature,kWh
MAC003252,20,9,2012,0,No,Lavish Lifestyles,9.12,0.131
MAC003252,20,9,2012,1,No,Lavish Lifestyles,9.07,0.201
MAC003252,20,9,2012,2,No,Lavish Lifestyles,9.33,0.123
MAC003252,20,9,2012,3,No,Lavish Lifestyles,9.08,0.117
MAC003252,20,9,2012,4,No,Lavish Lifestyles,9.15,0.157
MAC003252,20,9,2012,5,No,Lavish Lifestyles,9.21,0.052
MAC003252,20,9,2012,6,No,Lavish Lifestyles,9.18,0.197
MAC003252,20,9,2012,7,No,Lavish Lifestyles,10.33,0.166
MAC003252,20,9,2012,8,No,Lavish Lifestyles,12.06,0.511
MAC003252,20,9,2012,9,No,Lavish Lifestyles,13.71,0.538
MAC003252,20,9,2012,10,No,Lavish Lifestyles,14.99,0.096
MAC003252,20,9,2012,11,No,Lavish Lifestyles,16.48,0.143
MAC003252,20,9,2012,12,No,Lavish Lifestyles,17.38,0.197
MAC003252,20,9,2012,13,No,Lavish Lifestyles,16.95,0.373
MAC003252,20,9,2012,14,No,Lavish Lifestyles,16.94,0.372
MAC003252,20,9,2012,15,No,Lavish Lifestyles,16.51,0.381
MAC003252,20,9,2012,16,No,Lavish Lifestyles,16.36,0.236
MAC003252,20,9,2012,17,No,Lavish Lifestyles,15.67,0.204
MAC003252,20,9,2012,18,No,Lavish Lifestyles,14.66,0.157
MAC003252,20,9,2012,19,No,Lavish Lifestyles,13.99,0.106
MAC003252,20,9,2012,20,No,Lavish Lifestyles,13.79,0.196
MAC003252,20,9,2012,21,No,Lavish Lifestyles,13.34,0.163
MAC003252,20,9,2012,22,No,Lavish Lifestyles,12.75,0.149
MAC003252,20,9,2012,23,No,Lavish Lifestyles,12.19,0.191
MAC003252,21,9,2012,0,No,Lavish Lifestyles,11.66,0.138
MAC003252,21,9,2012,1,No,Lavish Lifestyles,11.26,0.073
MAC003252,21,9,2012,2,No,Lavish Lifestyles,11.21,0.118
MAC003252,21,9,2012,3,No,Lavish Lifestyles,10.83,0.117
MAC003252,21,9,2012,4,No,Lavish Lifestyles,10.73,0.063
MAC003252,21,9,2012,5,No,Lavish Lifestyles,10.65,0.126
MAC003252,21,9,2012,6,No,Lavish Lifestyles,10.34,0.075
MAC003252,21,9,2012,7,No,Lavish Lifestyles,10.92,0.299
MAC003252,21,9,2012,8,No,Lavish Lifestyles,12.52,0.25
MAC003252,21,9,2012,9,No,Lavish Lifestyles,13.75,0.104
MAC003252,21,9,2012,10,No,Lavish Lifestyles,14.75,0.117
MAC003252,21,9,2012,11,No,Lavish Lifestyles,15.25,0.18
MAC003252,21,9,2012,12,No,Lavish Lifestyles,14.91,0.069
MAC003252,21,9,2012,13,No,Lavish Lifestyles,15.46,0.185
MAC003252,21,9,2012,14,No,Lavish Lifestyles,16.02,0.14
MAC003252,21,9,2012,15,No,Lavish Lifestyles,16.32,0.541
MAC003252,21,9,2012,16,No,Lavish Lifestyles,15.7,0.901
MAC003252,21,9,2012,17,No,Lavish Lifestyles,15.28,0.859
MAC003252,21,9,2012,18,No,Lavish Lifestyles,13.43,0.523
MAC003252,21,9,2012,19,No,Lavish Lifestyles,12.54,0.363
MAC003252,21,9,2012,20,No,Lavish Lifestyles,11.99,0.997
MAC003252,21,9,2012,21,No,Lavish Lifestyles,11.52,0.377
MAC003252,21,9,2012,22,No,Lavish Lifestyles,11.25,0.322
MAC003252,21,9,2012,23,No,Lavish Lifestyles,11.16,0.4
MAC003252,22,9,2012,0,No,Lavish Lifestyles,10.63,0.132
MAC003252,22,9,2012,1,No,Lavish Lifestyles,10.02,0.094
MAC003252,22,9,2012,2,No,Lavish Lifestyles,8.97,0.122
MAC003252,22,9,2012,3,No,Lavish Lifestyles,8.31,0.119
MAC003252,22,9,2012,4,No,Lavish Lifestyles,7.71,0.098
MAC003252,22,9,2012,5,No,Lavish Lifestyles,7.09,0.124
MAC003252,22,9,2012,6,No,Lavish Lifestyles,6.59,0.139
MAC003252,22,9,2012,7,No,Lavish Lifestyles,7.38,0.105
MAC003252,22,9,2012,8,No,Lavish Lifestyles,8.64,0.267
MAC003252,22,9,2012,9,No,Lavish Lifestyles,10.49,0.256
MAC003252,22,9,2012,10,No,Lavish Lifestyles,12.11,0.075
MAC003252,22,9,2012,11,No,Lavish Lifestyles,13.48,0.139
MAC003252,22,9,2012,12,No,Lavish Lifestyles,14.12,0.297
MAC003252,22,9,2012,13,No,Lavish Lifestyles,15.4,0.295
MAC003252,22,9,2012,14,No,Lavish Lifestyles,15.01,0.345
MAC003252,22,9,2012,15,No,Lavish Lifestyles,15.62,0.352
MAC003252,22,9,2012,16,No,Lavish Lifestyles,15.11,1.165
MAC003252,22,9,2012,17,No,Lavish Lifestyles,13.81,0.772
MAC003252,22,9,2012,18,No,Lavish Lifestyles,12.99,0.305
MAC003252,22,9,2012,19,No,Lavish Lifestyles,12.5,0.423
MAC003252,22,9,2012,20,No,Lavish Lifestyles,11.53,1.016
MAC003252,22,9,2012,21,No,Lavish Lifestyles,11.01,0.199
MAC003252,22,9,2012,22,No,Lavish Lifestyles,11.32,0.213
MAC003252,22,9,2012,23,No,Lavish Lifestyles,10.63,0.243
MAC003252,23,9,2012,0,No,Lavish Lifestyles,9.74,0.162
MAC003252,23,9,2012,1,No,Lavish Lifestyles,9.35,0.249
MAC003252,23,9,2012,2,No,Lavish Lifestyles,9.21,0.169
MAC003252,23,9,2012,3,No,Lavish Lifestyles,8.85,0.095
MAC003252,23,9,2012,4,No,Lavish Lifestyles,9.02,0.211
MAC003252,23,9,2012,5,No,Lavish Lifestyles,9.57,0.155
MAC003252,23,9,2012,6,No,Lavish Lifestyles,10.18,0.112
MAC003252,23,9,2012,7,No,Lavish Lifestyles,10.73,0.216
MAC003252,23,9,2012,8,No,Lavish Lifestyles,11.43,0.267
MAC003252,23,9,2012,9,No,Lavish Lifestyles,12.31,0.285
MAC003252,23,9,2012,10,No,Lavish Lifestyles,11.94,0.317
MAC003252,23,9,2012,11,No,Lavish Lifestyles,11.85,0.123
MAC003252,23,9,2012,12,No,Lavish Lifestyles,11.45,0.136
