ID_House,Day,Month,Year,Hour,Holiday,Acorn_Group,Temperature,kWh
MAC003305,28,9,2012,4,No,Lavish Lifestyles,9.03,0.119
MAC003305,28,9,2012,5,No,Lavish Lifestyles,9.09,0.114
MAC003305,28,9,2012,6,No,Lavish Lifestyles,10.15,0.177
MAC003305,28,9,2012,7,No,Lavish Lifestyles,10.93,0.149
MAC003305,28,9,2012,8,No,Lavish Lifestyles,12.5,0.357
MAC003305,28,9,2012,9,No,Lavish Lifestyles,13.72,0.174
MAC003305,28,9,2012,10,No,Lavish Lifestyles,14.65,0.134
MAC003305,28,9,2012,11,No,Lavish Lifestyles,15.93,0.188
MAC003305,28,9,2012,12,No,Lavish Lifestyles,16.62,0.129
MAC003305,28,9,2012,13,No,Lavish Lifestyles,17.07,0.205
MAC003305,28,9,2012,14,No,Lavish Lifestyles,14.55,0.25
MAC003305,28,9,2012,15,No,Lavish Lifestyles,13.43,0.38
MAC003305,28,9,2012,16,No,Lavish Lifestyles,13.77,0.239
MAC003305,28,9,2012,17,No,Lavish Lifestyles,13.32,0.221
MAC003305,28,9,2012,18,No,Lavish Lifestyles,12.99,0.755
MAC003305,28,9,2012,19,No,Lavish Lifestyles,12.52,0.563
MAC003305,28,9,2012,20,No,Lavish Lifestyles,12.43,0.708
MAC003305,28,9,2012,21,No,Lavish Lifestyles,11.94,0.749
MAC003305,28,9,2012,22,No,Lavish Lifestyles,11.45,0.656
MAC003305,28,9,2012,23,No,Lavish Lifestyles,11.01,0.372
MAC003305,29,9,2012,0,No,Lavish Lifestyles,10.51,0.585
MAC003305,29,9,2012,1,No,Lavish Lifestyles,10.59,0.147
MAC003305,29,9,2012,2,No,Lavish Lifestyles,10.36,0.102
MAC003305,29,9,2012,3,No,Lavish Lifestyles,9.86,0.166
MAC003305,29,9,2012,4,No,Lavish Lifestyles,9.32,0.091
MAC003305,29,9,2012,5,No,Lavish Lifestyles,8.78,0.091
MAC003305,29,9,2012,6,No,Lavish Lifestyles,8.74,0.164
MAC003305,29,9,2012,7,No,Lavish Lifestyles,8.97,0.085
MAC003305,29,9,2012,8,No,Lavish Lifestyles,10.57,0.168
MAC003305,29,9,2012,9,No,Lavish Lifestyles,12.1,0.279
MAC003305,29,9,2012,10,No,Lavish Lifestyles,13.46,0.154
MAC003305,29,9,2012,11,No,Lavish Lifestyles,14.44,0.169
MAC003305,29,9,2012,12,No,Lavish Lifestyles,14.62,0.109
MAC003305,29,9,2012,13,No,Lavish Lifestyles,15.83,0.258
MAC003305,29,9,2012,14,No,Lavish Lifestyles,15.12,0.214
MAC003305,29,9,2012,15,No,Lavish Lifestyles,15.59,0.227
MAC003305,29,9,2012,16,No,Lavish Lifestyles,14.64,0.173
MAC003305,29,9,2012,17,No,Lavish Lifestyles,13.63,0.585
MAC003305,29,9,2012,18,No,Lavish Lifestyles,11.85,0.259
MAC003305,29,9,2012,19,No,Lavish Lifestyles,10.13,0.357
MAC003305,29,9,2012,20,No,Lavish Lifestyles,9.92,0.676
MAC003305,29,9,2012,21,No,Lavish Lifestyles,9.26,0.54
MAC003305,29,9,2012,22,No,Lavish Lifestyles,8.71,0.269
MAC003305,29,9,2012,23,No,Lavish Lifestyles,8.17,0.104
MAC003305,30,9,2012,0,No,Lavish Lifestyles,7.67,0.145
MAC003305,30,9,2012,1,No,Lavish Lifestyles,7.49,0.136
MAC003305,30,9,2012,2,No,Lavish Lifestyles,7.04,0.123
MAC003305,30,9,2012,3,No,Lavish Lifestyles,6.55,0.098
MAC003305,30,9,2012,4,No,Lavish Lifestyles,6.42,0.134
MAC003305,30,9,2012,5,No,Lavish Lifestyles,6.9,0.167
MAC003305,30,9,2012,6,No,Lavish Lifestyles,7.86,0.104
MAC003305,30,9,2012,7,No,Lavish Lifestyles,9.14,0.178
MAC003305,30,9,2012,8,No,Lavish Lifestyles,10.89,0.135
MAC003305,30,9,2012,9,No,Lavish Lifestyles,13,0.208
MAC003305,30,9,2012,10,No,Lavish Lifestyles,13.77,0.153
MAC003305,30,9,2012,11,No,Lavish Lifestyles,14.82,0.148
MAC003305,30,9,2012,12,No,Lavish Lifestyles,15.64,0.114
MAC003305,30,9,2012,13,No,Lavish Lifestyles,16.46,0.356
MAC003305,30,9,2012,14,No,Lavish Lifestyles,16.39,0.222
MAC003305,30,9,2012,15,No,Lavish Lifestyles,16.24,0.239
MAC003305,30,9,2012,16,No,Lavish Lifestyles,15.34,0.291
MAC003305,30,9,2012,17,No,Lavish Lifestyles,14.73,0.212
MAC003305,30,9,2012,18,No,Lavish Lifestyles,14.71,0.284
MAC003305,30,9,2012,19,No,Lavish Lifestyles,14.35,0.629
MAC003305,30,9,2012,20,No,Lavish Lifestyles,14.33,0.749
MAC003305,30,9,2012,21,No,Lavish Lifestyles,14.32,0.532
MAC003305,30,9,2012,22,No,Lavish Lifestyles,14.29,0.347
MAC003305,30,9,2012,23,No,Lavish Lifestyles,14.27,0.112
MAC003305,1,10,2012,0,No,Lavish Lifestyles,14.18,0.097
MAC003305,1,10,2012,1,No,Lavish Lifestyles,14.24,0.169
MAC003305,1,10,2012,2,No,Lavish Lifestyles,14.24,0.1
MAC003305,1,10,2012,3,No,Lavish Lifestyles,14.13,0.132
MAC003305,1,10,2012,4,No,Lavish Lifestyles,13.78,0.131
MAC003305,1,10,2012,5,No,Lavish Lifestyles,13.66,0.18
MAC003305,1,10,2012,6,No,Lavish Lifestyles,13.69,0.094
MAC003305,1,10,2012,7,No,Lavish Lifestyles,13.88,0.094
MAC003305,1,10,2012,8,No,Lavish Lifestyles,14.38,0.542
MAC003305,1,10,2012,9,No,Lavish Lifestyles,14.62,0.162
MAC003305,1,10,2012,10,No,Lavish Lifestyles,15.21,0.209
MAC003305,1,10,2012,11,No,Lavish Lifestyles,14.58,0.194
MAC003305,1,10,2012,12,No,Lavish Lifestyles,14.24,0.378
MAC003305,1,10,2012,13,No,Lavish Lifestyles,14.63,0.194
MAC003305,1,10,2012,14,No,Lavish Lifestyles,14.86,0.179
MAC003305,1,10,2012,15,No,Lavish Lifestyles,16.03,0.166
MAC003305,1,10,2012,16,No,Lavish Lifestyles,16.24,0.848
MAC003305,1,10,2012,17,No,Lavish Lifestyles,14.88,0.34
MAC003305,1,10,2012,18,No,Lavish Lifestyles,14.08,0.312
MAC003305,1,10,2012,19,No,Lavish Lifestyles,13.61,0.876
MAC003305,1,10,2012,20,No,Lavish Lifestyles,13.52,0.331
MAC003305,1,10,2012,21,No,Lavish Lifestyles,12.94,0.278
MAC003305,1,10,2012,22,No,Lavish Lifestyles,12.37,0.842
MAC003305,1,10,2012,23,No,Lavish Lifestyles,11.88,0.134
MAC003305,2,10,2012,0,No,Lavish Lifestyles,11.78,0.194
MAC003305,2,10,2012,1,No,Lavish Lifestyles,11.37,0.092
MAC003305,2,10,2012,2,No,Lavish Lifestyles,10.89,0.139
MAC003305,2,10,2012,3,No,Lavish Lifestyles,10.87,0.1
MAC003305,2,10,2012,4,No,Lavish Lifestyles,10.94,0.094
MAC003305,2,10,2012,5,No,Lavish Lifestyles,11.48,0.128
MAC003305,2,10,2012,6,No,Lavish Lifestyles,11.85,0.202
MAC003305,2,10,2012,7,No,Lavish Lifestyles,11.97,0.183
MAC003305,2,10,2012,8,No,Lavish Lifestyles,13.01,0.22
MAC003305,2,10,2012,9,No,Lavish Lifestyles,13.63,0.183
MAC003305,2,10,2012,10,No,Lavish Lifestyles,14.96,0.163
MAC003305,2,10,2012,11,No,Lavish Lifestyles,15.99,0.094
MAC003305,2,10,2012,12,No,Lavish Lifestyles,16.32,0.187
MAC003305,2,10,2012,13,No,Lavish Lifestyles,16.44,0.199
MAC003305,2,10,2012,14,No,Lavish Lifestyles,16.42,0.221
MAC003305,2,10,2012,15,No,Lavish Lifestyles,16.11,0.24
MAC003305,2,10,2012,16,No,Lavish Lifestyles,15.09,0.199
MAC003305,2,10,2012,17,No,Lavish Lifestyles,14.6,0.504
MAC003305,2,10,2012,18,No,Lavish Lifestyles,14.05,0.441
MAC003305,2,10,2012,19,No,Lavish Lifestyles,13.23,0.331
MAC003305,2,10,2012,20,No,Lavish Lifestyles,13.24,0.354
MAC003305,2,10,2012,21,No,Lavish Lifestyles,13.29,0.48
MAC003305,2,10,2012,22,No,Lavish Lifestyles,13.29,0.261
MAC003305,2,10,2012,23,No,Lavish Lifestyles,13.68,0.105
MAC003305,3,10,2012,0,No,Lavish Lifestyles,14.03,0.139
MAC003305,3,10,2012,1,No,Lavish Lifestyles,13.1,0.101
MAC003305,3,10,2012,2,No,Lavish Lifestyles,12.62,0.145
MAC003305,3,10,2012,3,No,Lavish Lifestyles,12.57,0.093
MAC003305,3,10,2012,4,No,Lavish Lifestyles,12.09,0.133
MAC003305,3,10,2012,5,No,Lavish Lifestyles,11.91,0.096
MAC003305,3,10,2012,6,No,Lavish Lifestyles,11.06,0.174
MAC003305,3,10,2012,7,No,Lavish Lifestyles,11.13,0.181
MAC003305,3,10,2012,8,No,Lavish Lifestyles,12.04,0.246
MAC003305,3,10,2012,9,No,Lavish Lifestyles,12.75,0.177
MAC003305,3,10,2012,10,No,Lavish Lifestyles,14.12,0.141
MAC003305,3,10,2012,11,No,Lavish Lifestyles,12.97,0.239
MAC003305,3,10,2012,12,No,Lavish Lifestyles,13.78,0.14
MAC003305,3,10,2012,13,No,Lavish Lifestyles,14.06,0.242
MAC003305,3,10,2012,14,No,Lavish Lifestyles,14.13,0.246
MAC003305,3,10,2012,15,No,Lavish Lifestyles,14.34,0.206
MAC003305,3,10,2012,16,No,Lavish Lifestyles,13.49,0.29
MAC003305,3,10,2012,17,No,Lavish Lifestyles,12.94,0.298
MAC003305,3,10,2012,18,No,Lavish Lifestyles,12.24,0.49
MAC003305,3,10,2012,19,No,Lavish Lifestyles,11.92,0.486
MAC003305,3,10,2012,20,No,Lavish Lifestyles,9.52,0.371
MAC003305,3,10,2012,21,No,Lavish Lifestyles,9.35,0.82
MAC003305,3,10,2012,22,No,Lavish Lifestyles,9.44,0.266
MAC003305,3,10,2012,23,No,Lavish Lifestyles,9.42,0.124
MAC003305,4,10,2012,0,No,Lavish Lifestyles,9.72,0.085
MAC003305,4,10,2012,1,No,Lavish Lifestyles,9.13,0.127
MAC003305,4,10,2012,2,No,Lavish Lifestyles,8.21,0.133
MAC003305,4,10,2012,3,No,Lavish Lifestyles,7.86,0.093
MAC003305,4,10,2012,4,No,Lavish Lifestyles,7.54,0.146
MAC003305,4,10,2012,5,No,Lavish Lifestyles,7.49,0.095
MAC003305,4,10,2012,6,No,Lavish Lifestyles,7.19,0.155
MAC003305,4,10,2012,7,No,Lavish Lifestyles,7.43,0.106
MAC003305,4,10,2012,8,No,Lavish Lifestyles,8.74,0.166
MAC003305,4,10,2012,9,No,Lavish Lifestyles,10.79,0.212
MAC003305,4,10,2012,10,No,Lavish Lifestyles,13.02,0.268
MAC003305,4,10,2012,11,No,Lavish Lifestyles,14.53,0.168
MAC003305,4,10,2012,12,No,Lavish Lifestyles,14.64,0.1
MAC003305,4,10,2012,13,No,Lavish Lifestyles,14.46,0.1
MAC003305,4,10,2012,14,No,Lavish Lifestyles,14.93,0.235
MAC003305,4,10,2012,15,No,Lavish Lifestyles,14.84,0.198
MAC003305,4,10,2012,16,No,Lavish Lifestyles,14.99,0.284
MAC003305,4,10,2012,17,No,Lavish Lifestyles,13.99,0.28
MAC003305,4,10,2012,18,No,Lavish Lifestyles,13.41,0.48
MAC003305,4,10,2012,19,No,Lavish Lifestyles,12.82,0.96
MAC003305,4,10,2012,20,No,Lavish Lifestyles,12.32,1.142
MAC003305,4,10,2012,21,No,Lavish Lifestyles,12.43,0.419
MAC003305,4,10,2012,22,No,Lavish Lifestyles,12.38,0.695
MAC003305,4,10,2012,23,No,Lavish Lifestyles,11.51,0.873
MAC003305,5,10,2012,0,No,Lavish Lifestyles,10.98,0.182
MAC003305,5,10,2012,1,No,Lavish Lifestyles,11.02,0.091
MAC003305,5,10,2012,2,No,Lavish Lifestyles,11.34,0.164
MAC003305,5,10,2012,3,No,Lavish Lifestyles,13.4,0.11
MAC003305,5,10,2012,4,No,Lavish Lifestyles,15.02,0.118
MAC003305,5,10,2012,5,No,Lavish Lifestyles,15.6,0.098
