ID_House,Day,Month,Year,Hour,Holiday,Acorn_Group,Temperature,kWh
MAC003239,19,9,2012,0,No,Lavish Lifestyles,9.23,0.062
MAC003239,19,9,2012,1,No,Lavish Lifestyles,8.74,0.062
MAC003239,19,9,2012,2,No,Lavish Lifestyles,8.21,0.078
MAC003239,19,9,2012,3,No,Lavish Lifestyles,7.72,0.062
MAC003239,19,9,2012,4,No,Lavish Lifestyles,7.56,0.079
MAC003239,19,9,2012,5,No,Lavish Lifestyles,7.41,0.061
MAC003239,19,9,2012,6,No,Lavish Lifestyles,7.35,0.092
MAC003239,19,9,2012,7,No,Lavish Lifestyles,8.13,0.221
MAC003239,19,9,2012,8,No,Lavish Lifestyles,10.19,0.196
MAC003239,19,9,2012,9,No,Lavish Lifestyles,11.85,0.055
MAC003239,19,9,2012,10,No,Lavish Lifestyles,14.06,0.064
MAC003239,19,9,2012,11,No,Lavish Lifestyles,15.05,0.27
MAC003239,19,9,2012,12,No,Lavish Lifestyles,16.01,0.069
MAC003239,19,9,2012,13,No,Lavish Lifestyles,15.43,0.165
MAC003239,19,9,2012,14,No,Lavish Lifestyles,16.08,0.111
MAC003239,19,9,2012,15,No,Lavish Lifestyles,16.01,0.113
MAC003239,19,9,2012,16,No,Lavish Lifestyles,16.3,0.113
MAC003239,19,9,2012,17,No,Lavish Lifestyles,15.55,0.245
MAC003239,19,9,2012,18,No,Lavish Lifestyles,14.24,0.404
MAC003239,19,9,2012,19,No,Lavish Lifestyles,12.85,0.365
MAC003239,19,9,2012,20,No,Lavish Lifestyles,12.71,0.162
MAC003239,19,9,2012,21,No,Lavish Lifestyles,12.56,0.323
MAC003239,19,9,2012,22,No,Lavish Lifestyles,11.19,0.12
MAC003239,19,9,2012,23,No,Lavish Lifestyles,10.49,0.066
MAC003239,20,9,2012,0,No,Lavish Lifestyles,9.12,0.063
MAC003239,20,9,2012,1,No,Lavish Lifestyles,9.07,0.063
MAC003239,20,9,2012,2,No,Lavish Lifestyles,9.33,0.076
MAC003239,20,9,2012,3,No,Lavish Lifestyles,9.08,0.063
MAC003239,20,9,2012,4,No,Lavish Lifestyles,9.15,0.08
MAC003239,20,9,2012,5,No,Lavish Lifestyles,9.21,0.028
MAC003239,20,9,2012,6,No,Lavish Lifestyles,9.18,0.1
MAC003239,20,9,2012,7,No,Lavish Lifestyles,10.33,0.099
MAC003239,20,9,2012,8,No,Lavish Lifestyles,12.06,0.189
MAC003239,20,9,2012,9,No,Lavish Lifestyles,13.71,0.077
MAC003239,20,9,2012,10,No,Lavish Lifestyles,14.99,0.067
MAC003239,20,9,2012,11,No,Lavish Lifestyles,16.48,0.293
MAC003239,20,9,2012,12,No,Lavish Lifestyles,17.38,0.216
MAC003239,20,9,2012,13,No,Lavish Lifestyles,16.95,0.07
