ID_House,Day,Month,Year,Hour,Holiday,Acorn_Group,Temperature,kWh
MAC000002,13,10,2012,0,No,Lavish Lifestyles,8.78,0.263
MAC000002,13,10,2012,1,No,Lavish Lifestyles,8.27,0.275
MAC000002,13,10,2012,2,No,Lavish Lifestyles,7.87,0.21100000000000002
MAC000002,13,10,2012,3,No,Lavish Lifestyles,7.89,0.161
MAC000002,13,10,2012,4,No,Lavish Lifestyles,7.74,0.16699999999999998
MAC000002,13,10,2012,5,No,Lavish Lifestyles,7.33,0.168
MAC000002,13,10,2012,6,No,Lavish Lifestyles,6.5,0.166
MAC000002,13,10,2012,7,No,Lavish Lifestyles,6.47,0.157
MAC000002,13,10,2012,8,No,Lavish Lifestyles,7.84,0.146
MAC000002,13,10,2012,9,No,Lavish Lifestyles,9.12,0.135
MAC000002,13,10,2012,10,No,Lavish Lifestyles,10.66,0.915
MAC000002,13,10,2012,11,No,Lavish Lifestyles,10.58,0.122
MAC000002,13,10,2012,12,No,Lavish Lifestyles,11.43,0.076
MAC000002,13,10,2012,13,No,Lavish Lifestyles,11.38,0.076
MAC000002,13,10,2012,14,No,Lavish Lifestyles,11.53,0.085
MAC000002,13,10,2012,15,No,Lavish Lifestyles,10.11,0.134
MAC000002,13,10,2012,16,No,Lavish Lifestyles,10.27,0.124
MAC000002,13,10,2012,17,No,Lavish Lifestyles,9.91,0.23
MAC000002,13,10,2012,18,No,Lavish Lifestyles,9.01,0.38799999999999996
MAC000002,13,10,2012,19,No,Lavish Lifestyles,7.63,0.9179999999999999
MAC000002,13,10,2012,20,No,Lavish Lifestyles,7.01,0.267
MAC000002,13,10,2012,21,No,Lavish Lifestyles,6.53,0.23
MAC000002,13,10,2012,22,No,Lavish Lifestyles,6.41,0.235
MAC000002,13,10,2012,23,No,Lavish Lifestyles,5.92,0.259
MAC000002,14,10,2012,0,No,Lavish Lifestyles,5.69,0.262
MAC000002,14,10,2012,1,No,Lavish Lifestyles,5.17,0.226
MAC000002,14,10,2012,2,No,Lavish Lifestyles,4.67,0.126
