ID_House,Day,Month,Year,Hour,Holiday,Acorn_Group,Temperature,kWh
MAC000246,4,12,2011,0,No,Lavish Lifestyles,8.6,0.175
MAC000246,4,12,2011,1,No,Lavish Lifestyles,8.64,0.14400000000000002
MAC000246,4,12,2011,2,No,Lavish Lifestyles,8.63,0.071
MAC000246,4,12,2011,3,No,Lavish Lifestyles,8.56,0.047
MAC000246,4,12,2011,4,No,Lavish Lifestyles,8.03,0.052000000000000005
MAC000246,4,12,2011,5,No,Lavish Lifestyles,7.57,0.039
MAC000246,4,12,2011,6,No,Lavish Lifestyles,7.53,0.026000000000000002
MAC000246,4,12,2011,7,No,Lavish Lifestyles,7.6,0.095
MAC000246,4,12,2011,8,No,Lavish Lifestyles,7.87,0.6579999999999999
MAC000246,4,12,2011,9,No,Lavish Lifestyles,8.03,0.8009999999999999
MAC000246,4,12,2011,10,No,Lavish Lifestyles,8.11,1.2130001
MAC000246,4,12,2011,11,No,Lavish Lifestyles,8.56,0.179
MAC000246,4,12,2011,12,No,Lavish Lifestyles,9.04,1.9140000000000001
MAC000246,4,12,2011,13,No,Lavish Lifestyles,9.11,1.535
MAC000246,4,12,2011,14,No,Lavish Lifestyles,9.08,1.219
MAC000246,4,12,2011,15,No,Lavish Lifestyles,8.34,0.233
MAC000246,4,12,2011,16,No,Lavish Lifestyles,8.18,0.128
MAC000246,4,12,2011,17,No,Lavish Lifestyles,8.08,0.077
MAC000246,4,12,2011,18,No,Lavish Lifestyles,7.97,0.081
MAC000246,4,12,2011,19,No,Lavish Lifestyles,7.53,0.134
MAC000246,4,12,2011,20,No,Lavish Lifestyles,5.49,0.8220000000000001
MAC000246,4,12,2011,21,No,Lavish Lifestyles,5.32,0.19
MAC000246,4,12,2011,22,No,Lavish Lifestyles,5.11,1.1160001
MAC000246,4,12,2011,23,No,Lavish Lifestyles,4.69,0.478
MAC000246,5,12,2011,0,No,Lavish Lifestyles,4.21,0.47100000000000003
MAC000246,5,12,2011,1,No,Lavish Lifestyles,4.14,0.326
MAC000246,5,12,2011,2,No,Lavish Lifestyles,4.09,0.13
MAC000246,5,12,2011,3,No,Lavish Lifestyles,3.56,0.12300000000000001
MAC000246,5,12,2011,4,No,Lavish Lifestyles,3.46,0.092
MAC000246,5,12,2011,5,No,Lavish Lifestyles,3.1,0.11800000000000001
MAC000246,5,12,2011,6,No,Lavish Lifestyles,3.12,0.087
MAC000246,5,12,2011,7,No,Lavish Lifestyles,3.11,0.08
MAC000246,5,12,2011,8,No,Lavish Lifestyles,2.81,0.354
MAC000246,5,12,2011,9,No,Lavish Lifestyles,3.34,0.025
