ID_House,Day,Month,Year,Hour,Holiday,Acorn_Group,Temperature,kWh
MAC003223,18,9,2012,0,No,Lavish Lifestyles,14.06,0.076
MAC003223,18,9,2012,1,No,Lavish Lifestyles,13.12,0.123
MAC003223,18,9,2012,2,No,Lavish Lifestyles,12.53,0.051
MAC003223,18,9,2012,3,No,Lavish Lifestyles,12.07,0.043
MAC003223,18,9,2012,4,No,Lavish Lifestyles,12.39,0.097
MAC003223,18,9,2012,5,No,Lavish Lifestyles,11.9,0.059
MAC003223,18,9,2012,6,No,Lavish Lifestyles,11.43,0.921
MAC003223,18,9,2012,7,No,Lavish Lifestyles,11.67,0.436
MAC003223,18,9,2012,8,No,Lavish Lifestyles,12.73,0.064
MAC003223,18,9,2012,9,No,Lavish Lifestyles,14.33,0.32
MAC003223,18,9,2012,10,No,Lavish Lifestyles,15.14,0.071
MAC003223,18,9,2012,11,No,Lavish Lifestyles,16.14,0.088
MAC003223,18,9,2012,12,No,Lavish Lifestyles,15.93,0.271
MAC003223,18,9,2012,13,No,Lavish Lifestyles,17.19,0.077
MAC003223,18,9,2012,14,No,Lavish Lifestyles,17.16,0.085
MAC003223,18,9,2012,15,No,Lavish Lifestyles,16.77,0.476
MAC003223,18,9,2012,16,No,Lavish Lifestyles,16.97,0.255
MAC003223,18,9,2012,17,No,Lavish Lifestyles,16.07,0.28
MAC003223,18,9,2012,18,No,Lavish Lifestyles,14.88,0.252
MAC003223,18,9,2012,19,No,Lavish Lifestyles,13.79,0.29
MAC003223,18,9,2012,20,No,Lavish Lifestyles,12.55,0.401
MAC003223,18,9,2012,21,No,Lavish Lifestyles,11.55,0.39
MAC003223,18,9,2012,22,No,Lavish Lifestyles,10.97,0.457
MAC003223,18,9,2012,23,No,Lavish Lifestyles,9.95,0.211
MAC003223,19,9,2012,0,No,Lavish Lifestyles,9.23,0.191
MAC003223,19,9,2012,1,No,Lavish Lifestyles,8.74,0.074
MAC003223,19,9,2012,2,No,Lavish Lifestyles,8.21,0.078
MAC003223,19,9,2012,3,No,Lavish Lifestyles,7.72,0.068
MAC003223,19,9,2012,4,No,Lavish Lifestyles,7.56,0.068
MAC003223,19,9,2012,5,No,Lavish Lifestyles,7.41,0.041
MAC003223,19,9,2012,6,No,Lavish Lifestyles,7.35,0.334
MAC003223,19,9,2012,7,No,Lavish Lifestyles,8.13,0.328
MAC003223,19,9,2012,8,No,Lavish Lifestyles,10.19,0.664
MAC003223,19,9,2012,9,No,Lavish Lifestyles,11.85,0.282
MAC003223,19,9,2012,10,No,Lavish Lifestyles,14.06,0.136
MAC003223,19,9,2012,11,No,Lavish Lifestyles,15.05,0.186
MAC003223,19,9,2012,12,No,Lavish Lifestyles,16.01,1.143
MAC003223,19,9,2012,13,No,Lavish Lifestyles,15.43,0.761
MAC003223,19,9,2012,14,No,Lavish Lifestyles,16.08,0.312
MAC003223,19,9,2012,15,No,Lavish Lifestyles,16.01,0.451
MAC003223,19,9,2012,16,No,Lavish Lifestyles,16.3,0.218
MAC003223,19,9,2012,17,No,Lavish Lifestyles,15.55,0.654
MAC003223,19,9,2012,18,No,Lavish Lifestyles,14.24,0.292
MAC003223,19,9,2012,19,No,Lavish Lifestyles,12.85,0.51
MAC003223,19,9,2012,20,No,Lavish Lifestyles,12.71,0.52
MAC003223,19,9,2012,21,No,Lavish Lifestyles,12.56,0.577
MAC003223,19,9,2012,22,No,Lavish Lifestyles,11.19,0.352
MAC003223,19,9,2012,23,No,Lavish Lifestyles,10.49,0.195
MAC003223,20,9,2012,0,No,Lavish Lifestyles,9.12,0.106
MAC003223,20,9,2012,1,No,Lavish Lifestyles,9.07,0.074
MAC003223,20,9,2012,2,No,Lavish Lifestyles,9.33,0.042
MAC003223,20,9,2012,3,No,Lavish Lifestyles,9.08,0.091
MAC003223,20,9,2012,4,No,Lavish Lifestyles,9.15,0.044
MAC003223,20,9,2012,5,No,Lavish Lifestyles,9.21,0.077
MAC003223,20,9,2012,6,No,Lavish Lifestyles,9.18,1.056
MAC003223,20,9,2012,7,No,Lavish Lifestyles,10.33,0.474
MAC003223,20,9,2012,8,No,Lavish Lifestyles,12.06,0.221
MAC003223,20,9,2012,9,No,Lavish Lifestyles,13.71,0.392
MAC003223,20,9,2012,10,No,Lavish Lifestyles,14.99,0.199
MAC003223,20,9,2012,11,No,Lavish Lifestyles,16.48,0.363
MAC003223,20,9,2012,12,No,Lavish Lifestyles,17.38,0.555
MAC003223,20,9,2012,13,No,Lavish Lifestyles,16.95,0.083
MAC003223,20,9,2012,14,No,Lavish Lifestyles,16.94,0.13
MAC003223,20,9,2012,15,No,Lavish Lifestyles,16.51,0.083
MAC003223,20,9,2012,16,No,Lavish Lifestyles,16.36,0.244
MAC003223,20,9,2012,17,No,Lavish Lifestyles,15.67,0.26
MAC003223,20,9,2012,18,No,Lavish Lifestyles,14.66,0.372
MAC003223,20,9,2012,19,No,Lavish Lifestyles,13.99,1.131
MAC003223,20,9,2012,20,No,Lavish Lifestyles,13.79,1.8150001
MAC003223,20,9,2012,21,No,Lavish Lifestyles,13.34,0.563
