ID_House,Day,Month,Year,Hour,Holiday,Acorn_Group,Temperature,kWh
MAC001074,9,5,2012,0,No,Lavish Lifestyles,11.46,0.18
MAC001074,9,5,2012,1,No,Lavish Lifestyles,11.38,0.106
MAC001074,9,5,2012,2,No,Lavish Lifestyles,11.38,0.146
MAC001074,9,5,2012,3,No,Lavish Lifestyles,10.86,0.219
MAC001074,9,5,2012,4,No,Lavish Lifestyles,10.78,0.246
MAC001074,9,5,2012,5,No,Lavish Lifestyles,10.8,0.205
MAC001074,9,5,2012,6,No,Lavish Lifestyles,10.78,1.86
MAC001074,9,5,2012,7,No,Lavish Lifestyles,10.96,1
MAC001074,9,5,2012,8,No,Lavish Lifestyles,11.61,0.276
MAC001074,9,5,2012,9,No,Lavish Lifestyles,12.23,0.194
MAC001074,9,5,2012,10,No,Lavish Lifestyles,13.78,0.278
MAC001074,9,5,2012,11,No,Lavish Lifestyles,14.67,0.176
MAC001074,9,5,2012,12,No,Lavish Lifestyles,15.18,0.12
MAC001074,9,5,2012,13,No,Lavish Lifestyles,15.11,0.222
MAC001074,9,5,2012,14,No,Lavish Lifestyles,15.18,0.089
MAC001074,9,5,2012,15,No,Lavish Lifestyles,14.43,0.167
MAC001074,9,5,2012,16,No,Lavish Lifestyles,14.88,0.542
MAC001074,9,5,2012,17,No,Lavish Lifestyles,14.93,0.518
MAC001074,9,5,2012,18,No,Lavish Lifestyles,14.89,0.603
MAC001074,9,5,2012,19,No,Lavish Lifestyles,14.63,3.5150001
MAC001074,9,5,2012,20,No,Lavish Lifestyles,14.27,0.401
MAC001074,9,5,2012,21,No,Lavish Lifestyles,14.34,0.67
MAC001074,9,5,2012,22,No,Lavish Lifestyles,14.32,0.18
MAC001074,9,5,2012,23,No,Lavish Lifestyles,14.44,0.168
MAC001074,10,5,2012,0,No,Lavish Lifestyles,14.92,0.471
MAC001074,10,5,2012,1,No,Lavish Lifestyles,15.01,0.198
MAC001074,10,5,2012,2,No,Lavish Lifestyles,15.36,0.116
MAC001074,10,5,2012,3,No,Lavish Lifestyles,15.35,0.268
MAC001074,10,5,2012,4,No,Lavish Lifestyles,14.91,0.179
MAC001074,10,5,2012,5,No,Lavish Lifestyles,14.89,0.16
MAC001074,10,5,2012,6,No,Lavish Lifestyles,14.78,0.744
MAC001074,10,5,2012,7,No,Lavish Lifestyles,14.92,1.714
MAC001074,10,5,2012,8,No,Lavish Lifestyles,15.81,0.215
MAC001074,10,5,2012,9,No,Lavish Lifestyles,16.38,0.321
MAC001074,10,5,2012,10,No,Lavish Lifestyles,16.87,0.446
MAC001074,10,5,2012,11,No,Lavish Lifestyles,16.58,0.108
MAC001074,10,5,2012,12,No,Lavish Lifestyles,17.12,0.077
MAC001074,10,5,2012,13,No,Lavish Lifestyles,16.89,0.33
MAC001074,10,5,2012,14,No,Lavish Lifestyles,16.28,0.077
MAC001074,10,5,2012,15,No,Lavish Lifestyles,15.53,0.2
MAC001074,10,5,2012,16,No,Lavish Lifestyles,15.98,0.085
MAC001074,10,5,2012,17,No,Lavish Lifestyles,15.92,0.22
MAC001074,10,5,2012,18,No,Lavish Lifestyles,15.82,0.117
MAC001074,10,5,2012,19,No,Lavish Lifestyles,15.27,0.364
MAC001074,10,5,2012,20,No,Lavish Lifestyles,15.19,1.781
MAC001074,10,5,2012,21,No,Lavish Lifestyles,14.81,0.54
MAC001074,10,5,2012,22,No,Lavish Lifestyles,14.62,0.259
MAC001074,10,5,2012,23,No,Lavish Lifestyles,14.22,0.633
MAC001074,11,5,2012,0,No,Lavish Lifestyles,13.83,0.181
MAC001074,11,5,2012,1,No,Lavish Lifestyles,13.53,0.311
MAC001074,11,5,2012,2,No,Lavish Lifestyles,12.99,0.419
MAC001074,11,5,2012,3,No,Lavish Lifestyles,12.53,0.096
MAC001074,11,5,2012,4,No,Lavish Lifestyles,12.37,0.162
MAC001074,11,5,2012,5,No,Lavish Lifestyles,11.47,0.077
MAC001074,11,5,2012,6,No,Lavish Lifestyles,11.52,0.133
MAC001074,11,5,2012,7,No,Lavish Lifestyles,12.07,0.142
MAC001074,11,5,2012,8,No,Lavish Lifestyles,12.23,0.121
MAC001074,11,5,2012,9,No,Lavish Lifestyles,13.14,1.125
MAC001074,11,5,2012,10,No,Lavish Lifestyles,13.71,0.416
MAC001074,11,5,2012,11,No,Lavish Lifestyles,14.16,1.416
MAC001074,11,5,2012,12,No,Lavish Lifestyles,15.51,1.48
MAC001074,11,5,2012,13,No,Lavish Lifestyles,15.49,0.199
MAC001074,11,5,2012,14,No,Lavish Lifestyles,15.88,0.196
MAC001074,11,5,2012,15,No,Lavish Lifestyles,15.31,0.272
MAC001074,11,5,2012,16,No,Lavish Lifestyles,15.09,0.087
MAC001074,11,5,2012,17,No,Lavish Lifestyles,14.23,0.31
MAC001074,11,5,2012,18,No,Lavish Lifestyles,13.36,0.33
MAC001074,11,5,2012,19,No,Lavish Lifestyles,12.29,0.987
MAC001074,11,5,2012,20,No,Lavish Lifestyles,11.05,1.789
MAC001074,11,5,2012,21,No,Lavish Lifestyles,10.01,0.291
MAC001074,11,5,2012,22,No,Lavish Lifestyles,9.37,0.597
MAC001074,11,5,2012,23,No,Lavish Lifestyles,8.42,0.292
MAC001074,12,5,2012,0,No,Lavish Lifestyles,7.92,0.277
MAC001074,12,5,2012,1,No,Lavish Lifestyles,7.29,0.318
MAC001074,12,5,2012,2,No,Lavish Lifestyles,6.77,0.231
MAC001074,12,5,2012,3,No,Lavish Lifestyles,6.53,0.111
MAC001074,12,5,2012,4,No,Lavish Lifestyles,5.69,0.181
MAC001074,12,5,2012,5,No,Lavish Lifestyles,5.78,0.168
MAC001074,12,5,2012,6,No,Lavish Lifestyles,6.54,0.117
MAC001074,12,5,2012,7,No,Lavish Lifestyles,8.12,1.151
MAC001074,12,5,2012,8,No,Lavish Lifestyles,9.23,0.902
MAC001074,12,5,2012,9,No,Lavish Lifestyles,10.41,0.261
MAC001074,12,5,2012,10,No,Lavish Lifestyles,11.45,1.017
MAC001074,12,5,2012,11,No,Lavish Lifestyles,12.23,0.535
MAC001074,12,5,2012,12,No,Lavish Lifestyles,13.57,0.279
MAC001074,12,5,2012,13,No,Lavish Lifestyles,13.97,0.187
MAC001074,12,5,2012,14,No,Lavish Lifestyles,14.04,0.924
MAC001074,12,5,2012,15,No,Lavish Lifestyles,13.78,0.488
MAC001074,12,5,2012,16,No,Lavish Lifestyles,14.44,0.236
MAC001074,12,5,2012,17,No,Lavish Lifestyles,13.95,0.159
MAC001074,12,5,2012,18,No,Lavish Lifestyles,13.38,1.796
MAC001074,12,5,2012,19,No,Lavish Lifestyles,12.41,2.9779999
MAC001074,12,5,2012,20,No,Lavish Lifestyles,11.06,0.316
MAC001074,12,5,2012,21,No,Lavish Lifestyles,10.21,1.393
MAC001074,12,5,2012,22,No,Lavish Lifestyles,9.62,0.211
MAC001074,12,5,2012,23,No,Lavish Lifestyles,8.26,0.219
MAC001074,13,5,2012,0,No,Lavish Lifestyles,7.71,0.319
