ID_House,Day,Month,Year,Hour,Holiday,Acorn_Group,Temperature,kWh
MAC003348,12,12,2012,0,No,Lavish Lifestyles,-2.38,0.083
MAC003348,12,12,2012,1,No,Lavish Lifestyles,-2.91,0.035
MAC003348,12,12,2012,2,No,Lavish Lifestyles,-3.27,0.041
MAC003348,12,12,2012,3,No,Lavish Lifestyles,-3.08,0.059
MAC003348,12,12,2012,4,No,Lavish Lifestyles,-3.03,0.074
MAC003348,12,12,2012,5,No,Lavish Lifestyles,-3.37,0.058
MAC003348,12,12,2012,6,No,Lavish Lifestyles,-3.8,0.041
MAC003348,12,12,2012,7,No,Lavish Lifestyles,-3.83,0.032
MAC003348,12,12,2012,8,No,Lavish Lifestyles,-3.66,1.406
MAC003348,12,12,2012,9,No,Lavish Lifestyles,-2.96,1.456
MAC003348,12,12,2012,10,No,Lavish Lifestyles,-1.99,0.353
MAC003348,12,12,2012,11,No,Lavish Lifestyles,-0.11,0.205
MAC003348,12,12,2012,12,No,Lavish Lifestyles,0.66,0.157
MAC003348,12,12,2012,13,No,Lavish Lifestyles,0.94,0.242
MAC003348,12,12,2012,14,No,Lavish Lifestyles,1.21,0.262
MAC003348,12,12,2012,15,No,Lavish Lifestyles,1.57,0.322
MAC003348,12,12,2012,16,No,Lavish Lifestyles,1.8,0.349
MAC003348,12,12,2012,17,No,Lavish Lifestyles,1.18,0.345
MAC003348,12,12,2012,18,No,Lavish Lifestyles,0.84,0.786
MAC003348,12,12,2012,19,No,Lavish Lifestyles,0.76,0.568
MAC003348,12,12,2012,20,No,Lavish Lifestyles,0.79,0.261
MAC003348,12,12,2012,21,No,Lavish Lifestyles,0.44,0.506
MAC003348,12,12,2012,22,No,Lavish Lifestyles,0.27,0.481
MAC003348,12,12,2012,23,No,Lavish Lifestyles,-0.58,0.301
MAC003348,13,12,2012,0,No,Lavish Lifestyles,-0.37,0.09
MAC003348,13,12,2012,1,No,Lavish Lifestyles,-0.81,0.052
MAC003348,13,12,2012,2,No,Lavish Lifestyles,-0.8,0.046
MAC003348,13,12,2012,3,No,Lavish Lifestyles,-0.39,0.054
MAC003348,13,12,2012,4,No,Lavish Lifestyles,-0.78,0.129
MAC003348,13,12,2012,5,No,Lavish Lifestyles,-0.77,0.088
MAC003348,13,12,2012,6,No,Lavish Lifestyles,-0.77,0.052
MAC003348,13,12,2012,7,No,Lavish Lifestyles,-1.35,0.038
MAC003348,13,12,2012,8,No,Lavish Lifestyles,-1.29,0.132
MAC003348,13,12,2012,9,No,Lavish Lifestyles,-1.09,0.607
MAC003348,13,12,2012,10,No,Lavish Lifestyles,-0.44,0.411
MAC003348,13,12,2012,11,No,Lavish Lifestyles,0.59,0.39
MAC003348,13,12,2012,12,No,Lavish Lifestyles,0.8,0.226
MAC003348,13,12,2012,13,No,Lavish Lifestyles,0.88,0.279
MAC003348,13,12,2012,14,No,Lavish Lifestyles,1.58,0.244
MAC003348,13,12,2012,15,No,Lavish Lifestyles,1.18,0.219
MAC003348,13,12,2012,16,No,Lavish Lifestyles,0.66,0.248
MAC003348,13,12,2012,17,No,Lavish Lifestyles,0.63,1.034
MAC003348,13,12,2012,18,No,Lavish Lifestyles,1.09,0.303
